Functions/Rotation/MultiplyQuaternion.uasset	MultiplyQuaternion	—	—
Functions/Rotation/MultiplyVectorWithQuaternion.uasset	MultiplyVectorWithQuaternion	—	—
Functions/Rotation/QuaternionToAxisAngle.uasset	QuaternionToAxisAngle	—	—
Functions/Rotation/QuaternionToRotationMatrix.uasset	QuaternionToRotationMatrix	—	—
Functions/Rotation/RandomQuaternion.uasset	RandomQuaternion	Normally, the random number generator uses The unique particle ID, a system level tick counter, and the supplied user random seed from the "Override Seed" value. 	—
Functions/Rotation/RotateAngleOnAxis.uasset	RotateAngleOnAxis	Value in which a complete rotation has occurred.	—
Functions/Rotation/RotateVector2D.uasset	RotateVector2D	Value in which a complete rotation has occurred.	—
Functions/Rotation/SlerpQuaternion.uasset	SlerpQuaternion	—	—
Functions/Rotation/TransformStack/TransformStack_Rotation.uasset	TransformStack_Rotation	Default value for Local.Module.LocalTransformVector if no other module has set it previously in the stack.	—
Functions/Rotation/TransformVectorToMeshSpace.uasset	TransformVectorToMeshSpace	This will convert a world space vector into the mesh particle's local space. 	—
Functions/Rotation/TwoVectorsToQuaternion.uasset	TwoVectorsToQuaternion	—	—
